SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
1,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,1,19-22,,3046383,Acre,470
2,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,11,12-14;17-18;2-9;24-25,,3046383,Acre,470
3,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,18,14;17-23;4-7,,3046383,Acre,470
4,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,27,1-10;12-19;22-24,,3046383,Acre,470
5,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,36,17;24,,3046383,Acre,470
6,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,44,10-11;2-3,,3046383,Acre,470
7,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,5,23,,3046383,Acre,470
8,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,52,7;14,,3046383,Acre,470
9,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,58,12-13;19-22;2-9,,3046383,Acre,470
10,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,64,14-15;17-18;5-6,,3046383,Acre,470
11,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,68-131,1,,3046383,Acre,470
12,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,63-131,21,,3046383,Acre,470
13,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,3;6,24,,3046383,Acre,470
14,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,26-27;65-131,25,,3046383,Acre,470
15,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,6-May,21-22,,3046383,Acre,470
16,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,51-52,1-4;17-24;8-13,,3046383,Acre,470
17,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,63-64,1-4;19-20;7-13,,3046383,Acre,470
18,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,3-Jan,10-12;14-15,,3046383,Acre,470
19,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,18-19,13-Aug,,3046383,Acre,470
20,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,11-Oct,15-16,,3046383,Acre,470
21,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,57-58,14-18,,3046383,Acre,470
22,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,64-131,22-24,,3046383,Acre,470
23,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,66-131,11-20;6-8,,3046383,Acre,470
24,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,8-May,11-Sep,,3046383,Acre,470
25,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,7-May,12;18-20,,3046383,Acre,470
26,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,17-19,3-Jan,,3046383,Acre,470
27,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,7-Jun,13-17;4-7,,3046383,Acre,470
28,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,35-36,1-3;18-23;8-13,,3046383,Acre,470
29,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,44-45,12-20;4-9,,3046383,Acre,470
30,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,2-Jan,13;1-9,,3046383,Acre,470
31,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,57-59,23-25,,3046383,Acre,470
32,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,43-45,21-25,,3046383,Acre,470
33,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,3-Feb,25;16-17,,3046383,Acre,470
34,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,8-Jun,8;1-3,,3046383,Acre,470
35,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,67-131,2-5;9-10,,3046383,Acre,470
36,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Link Road,24,21-24,,45490,Marla,780
37,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Link Road,27-28,11,,45490,Marla,780
38,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Link Road,28-29,12-15;6-10,,45490,Marla,780
39,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,30,15-Jun,,38587,Marla,780
40,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,24-26,11,,38587,Marla,780
41,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,24-27,12-15;6-10,,38587,Marla,780
42,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,23;31,25-Jan,,82175,Marla,780
43,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,24-30,1-5;16-20,,38587,Marla,780
44,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,1-22;32-131,25-Jan,,38587,Marla,780
45,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,25-30,21-25,,38587,Marla,780
46,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,12,23;25;16-17,,2063206,Acre,470
47,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,12,1;11;20-21;10/2,,2449137,Acre,510
48,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,15,4,,2063206,Acre,470
49,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,15,1;10-11;20-21,,2449137,Acre,510
50,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,16,25;5-6;15-16,,2449137,Acre,510
51,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,20,1;20;10-11,,2449137,Acre,510
52,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,4,21,,2449137,Acre,510
53,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,5,24,,2063206,Acre,470
54,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,5,21/2;22-25,,2449137,Acre,510
55,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,11;19,5;25;15-16;6/1;6/2,,2449137,Acre,510
56,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,13-19,1,,2063206,Acre,470
57,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,11-Jun,21,,2063206,Acre,470
58,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,24-Jun,24,,2063206,Acre,470
59,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,14-Jan,4,,2063206,Acre,470
60,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,13-14,10-11;20-21,,2063206,Acre,470
61,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,21-24,1;20;10-11,,2063206,Acre,470
62,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,4-Jan,21;24,,2063206,Acre,470
63,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,13-15,16;25,,2063206,Acre,470
64,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,15-Dec,15;5-6,,2063206,Acre,470
65,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,16-24,4;21,,2063206,Acre,470
66,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,1-10;17-18;20-24,25;5-6;15-16,,2063206,Acre,470
67,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,13-24,17;23,,2063206,Acre,470
68,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,11-Jan,1;17;20;23;10-11,,2063206,Acre,470
69,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,24-Jan,22;7-9;12-14;18-19;2-3,,2063206,Acre,470
70,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,16-19,20;10-11,,2063206,Acre,470
71,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,12,23;25;16-17;20-21,,46957,Marla,780
72,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,12,1;11;10/2,,38587,Marla,780
73,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,15,4,,46957,Marla,780
74,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,15,10-11;20-21,,38587,Marla,780
75,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,16,25;5-6;15-16,,38587,Marla,780
76,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,20,1;20;10-11,,38587,Marla,780
77,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,4,21,,38587,Marla,780
78,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,5,23;25;21/2,,38587,Marla,780
79,Depal Pur,Basir Pur,Badri Daas,Residential,Link Road,11;19,5;25;15-16;6/1;6/2,,38587,Marla,780
80,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,12,22;24;18-19,,46957,Marla,780
81,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,15,1-3;5-6,,46957,Marla,780
82,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,15-Dec,15,,38587,Marla,780
83,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,3-Jan,21,,38587,Marla,780
84,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,10-Jun,25,,38587,Marla,780
85,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,4-Jan,23;25,,38587,Marla,780
86,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,24-Jan,12-14;7-9,,38587,Marla,780
87,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,17-18;20-24,25;5-6;15-16,,38587,Marla,780
88,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,11-Jun,21;23,,38587,Marla,780
89,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,11-Jan,1;22;24;10-11;17-20,,38587,Marla,780
90,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,13-24,17-19;22-24,,38587,Marla,780
91,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,14-Dec,6-May,,38587,Marla,780
92,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,10-Jan,15-16;5-6,,38587,Marla,780
93,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,14-Jan,4-Feb,,38587,Marla,780
94,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,13-14,1;10-11;20-21,,38587,Marla,780
95,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,16-24,21;2-4,,38587,Marla,780
96,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,16-19;21-24,1;20;10-11,,38587,Marla,780
97,Depal Pur,Basir Pur,Badri Daas,Residential,Off Road,13-15,16;25,,38587,Marla,780
98,Depal Pur,Basir Pur,Baka Jhoojh,Agricultural,Link Road,32,2;22-23;8-9;12-13,,3609871,Acre,510
99,Depal Pur,Basir Pur,Baka Jhoojh,Agricultural,Link Road,40,23;8-9;12-13;18-20;2-3,,3609871,Acre,510
100,Depal Pur,Basir Pur,Baka Jhoojh,Agricultural,Link Road,22;25;45,"12-13;18-19;2-3;22-23;8-
9",,3609871,Acre,510
101,Depal Pur,Basir Pur,Baka Jhoojh,Agricultural,Link Road,3;35,12-13;18-19;22-23;8-9,,3609871,Acre,510
102,Depal Pur,Basir Pur,Baka Jhoojh,Agricultural,Off Road,"1-2;23-24;26-31;33-
34;36-39;4-21;41-44;46-
57","12-13;18-19;2-3;22-23;8-
9",,3093338,Acre,470
103,Depal Pur,Basir Pur,Baka Jhoojh,Agricultural,Off Road,Jan-57,"1;10-11;14-17;20-21;24-
25;4-7",,3093338,Acre,470
104,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Link Road,32,2;22-23;8-9;12-13,,45490,Marla,780
105,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Link Road,40,23;8-9;12-13;18-19;2-3,,45490,Marla,780
106,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Link Road,3;35,12-13;18-19;22-23;8-9,,45490,Marla,780
107,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Link Road,22;25;45,"12-13;18-19;2-3;22-23;8-
9",,45490,Marla,780
108,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,26,19-22;9-12,,70436,Marla,780
109,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,27,14-17;24-25;6-7,,70436,Marla,780
110,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,30,5-Apr,,70436,Marla,780
111,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,31,2-Jan,,70436,Marla,780
112,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,40,20,,45490,Marla,780
113,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,1-30;32-57,1,,38587,Marla,780
114,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,26-30,2,,38587,Marla,780
115,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,"1-2;23-24;33-34;36-39;4-
21;41-44;46-57","12-13;18-19;2-3;22-23;8-
9",,38587,Marla,780
116,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,1-26;28-57,14-17;24-25;6-7,,38587,Marla,780
117,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,26-31,3;8;13;18;23,,38587,Marla,780
118,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,1-25;27-57,10-11;20-21,,38587,Marla,780
119,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,27-31,9;12;19;22,,38587,Marla,780
120,Depal Pur,Basir Pur,Baka Jhoojh,Residential,Off Road,1-29;31-57,5-Apr,,38587,Marla,780
121,Depal Pur,Basir Pur,Barhan Dola,Agricultural,Off Road,1-9;11-23,25-Jan,,1934071,Acre,470
122,Depal Pur,Basir Pur,Barhan Dola,Residential,Off Road,10,9-Apr,,46957,Marla,780
123,Depal Pur,Basir Pur,Barhan Dola,Residential,Off Road,1-9;11-23,25-Jan,,38587,Marla,780
124,Depal Pur,Basir Pur,Batak,Agricultural,Off Road,1-18;20-53,25-Jan,,3781770,Acre,470
125,Depal Pur,Basir Pur,Batak,Residential,Off Road,1,1,,47655,Marla,780
126,Depal Pur,Basir Pur,Batak,Residential,Off Road,15,"14/1;15-
16;23/2;23/3;24/2;24/3;2
5-26;5/2;6/1",,61492,Marla,780
127,Depal Pur,Basir Pur,Batak,Residential,Off Road,16,11;13;18-19;22-24,,61492,Marla,780
128,Depal Pur,Basir Pur,Batak,Residential,Off Road,18,8/1;8/2,,61492,Marla,780
129,Depal Pur,Basir Pur,Batak,Residential,Off Road,19,1;17-26;5-6;8-13,,61492,Marla,780
130,Depal Pur,Basir Pur,Batak,Residential,Off Road,18-Feb,1,,47656,Marla,780
131,Depal Pur,Basir Pur,Batak,Residential,Off Road,15-16,17,,61492,Marla,780
132,Depal Pur,Basir Pur,Batak,Residential,Off Road,16-18,25,,47656,Marla,780
133,Depal Pur,Basir Pur,Batak,Residential,Off Road,14-Jan,25;15-17,,47656,Marla,780
134,Depal Pur,Basir Pur,Batak,Residential,Off Road,15-Jan,11;13;18-19;22-24,,47656,Marla,780
135,Depal Pur,Basir Pur,Batak,Residential,Off Road,20-53,25-Jan,,47656,Marla,780
136,Depal Pur,Basir Pur,Batak,Residential,Off Road,18-19,7;14-16;2-4,,61492,Marla,780
137,Depal Pur,Basir Pur,Batak,Residential,Off Road,17-Jan,7;14;2-4,,47656,Marla,780
138,Depal Pur,Basir Pur,Batak,Residential,Off Road,16-17,15-16,,47656,Marla,780
139,Depal Pur,Basir Pur,Batak,Residential,Off Road,18-Jan,12;20-21;5-6;8-10,,47656,Marla,780
140,Depal Pur,Basir Pur,Batak,Residential,Off Road,17-18,11;13;17-19;22-24,,47656,Marla,780
141,Depal Pur,Basir Pur,Bhamo No Abad,Agricultural,Off Road,1-14;16-29,25-Jan,,982337,Acre,470
142,Depal Pur,Basir Pur,Bhamo No Abad,Residential,Off Road,15,25-Jan,,49193,Marla,780
143,Depal Pur,Basir Pur,Bhamo No Abad,Residential,Off Road,1-14;16-29,25-Jan,,40425,Marla,780
144,Depal Pur,Basir Pur,Boongi Tahir,Agricultural,Link Road,2,16-Oct,,2190865,Acre,510
145,Depal Pur,Basir Pur,Boongi Tahir,Agricultural,Link Road,5,1-12;14-17,,2190865,Acre,510
146,Depal Pur,Basir Pur,Boongi Tahir,Agricultural,Link Road,8,3-Jan,,2190865,Acre,510
147,Depal Pur,Basir Pur,Boongi Tahir,Agricultural,Off Road,7;1-3;10-32,25-Jan,,1856301,Acre,470
148,Depal Pur,Basir Pur,Boongi Tahir,Residential,Link Road,2,16;11-14,,38587,Marla,780
149,Depal Pur,Basir Pur,Boongi Tahir,Residential,Link Road,5,1-12;14-17,,38587,Marla,780
150,Depal Pur,Basir Pur,Boongi Tahir,Residential,Link Road,8,1;3,,70436,Marla,780
151,Depal Pur,Basir Pur,Boongi Tahir,Residential,Off Road,9,1;3,,70436,Marla,780
152,Depal Pur,Basir Pur,Boongi Tahir,Residential,Off Road,1;3,16;11-14,,38587,Marla,780
153,Depal Pur,Basir Pur,Boongi Tahir,Residential,Off Road,7;10-32,25-Jan,,38587,Marla,780
154,Depal Pur,Basir Pur,Boongi Tahir,Residential,Off Road,3-Jan,15;17-25;1-10,,38587,Marla,780
155,Depal Pur,Basir Pur,Boongi Tahir,Residential,Off Road,9-Aug,2;4-25,,70436,Marla,780
156,Depal Pur,Basir Pur,Chah Bagarh,Agricultural,Off Road,15-Jan,25-Jan,,736368,Acre,470
157,Depal Pur,Basir Pur,Chah Bagarh,Residential,Off Road,15,5;7;12,,73790,Marla,780
158,Depal Pur,Basir Pur,Chah Bagarh,Residential,Off Road,14-Jan,5;7;12,,40425,Marla,780
159,Depal Pur,Basir Pur,Chah Bagarh,Residential,Off Road,15-Jan,6;8-11;1-4;13-25,,40425,Marla,780
160,Depal Pur,Basir Pur,Chah Elahi Shah,Agricultural,Off Road,29-Jan,25-Jan,,3093338,Acre,470
161,Depal Pur,Basir Pur,Chah Elahi Shah,Residential,Off Road,3,10-Jul,,46957,Marla,780
162,Depal Pur,Basir Pur,Chah Elahi Shah,Residential,Off Road,1-2;4-29,10-Jul,,38587,Marla,780
163,Depal Pur,Basir Pur,Chah Elahi Shah,Residential,Off Road,29-Jan,1-6;11-25,,38587,Marla,780
164,Depal Pur,Basir Pur,Chak Ahmad Khan,Agricultural,Link Road,1-25;27-47,21-Jan,,2578272,Acre,510
165,Depal Pur,Basir Pur,Chak Ahmad Khan,Agricultural,Link Road,Jan-47,22-25,,2578272,Acre,510
166,Depal Pur,Basir Pur,Chak Ahmad Khan,Agricultural,Link Road,54-75,25-Jan,,2578272,Acre,510
167,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Link Road,1-8;11-24,3,,38587,Marla,780
168,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Link Road,25;9-10,3,,38587,Marla,780
169,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Link Road,Jan-47,22-25,,38587,Marla,780
170,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Link Road,25-Jan,1-2;4-21,,38587,Marla,780
171,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Link Road,54-75,25-Jan,,38587,Marla,780
172,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Link Road,27-47,21-Jan,,38587,Marla,780
173,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Off Road,49,14-18,,58697,Marla,780
174,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Off Road,48-49,19-20,,58697,Marla,780
175,Depal Pur,Basir Pur,Chak Ahmad Khan,Residential,Off Road,26;52,21-Jan,,58697,Marla,780
176,Depal Pur,Basir Pur,Chak Ahmad Yar,Agricultural,Link Road,26;29;40,1;10-11;20-21,,2470452,Acre,510
177,Depal Pur,Basir Pur,Chak Ahmad Yar,Agricultural,Link Road,41;27-28,25;5-6;15-16,,2470452,Acre,510
178,Depal Pur,Basir Pur,Chak Ahmad Yar,Agricultural,Off Road,1-25;27-28;30-39;41-67,1;10-11;20-21,,2063061,Acre,470
179,Depal Pur,Basir Pur,Chak Ahmad Yar,Agricultural,Off Road,Jan-67,"12-14;17-19;2-4;22-24;7-
9",,2063061,Acre,470
180,Depal Pur,Basir Pur,Chak Ahmad Yar,Agricultural,Off Road,1-26;29-40;42-67,25;5-6;15-16,,2063061,Acre,470
181,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Link Road,41;27-28,25;5-6;15-16,,40425,Marla,780
182,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Link Road,26;29;40,1;10-11;20-21,,40425,Marla,780
183,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,1,12;1-5,,49193,Marla,780
184,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,25-Feb,1,,40425,Marla,780
185,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,26-Feb,5,,40425,Marla,780
186,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,25-Jan,10-11;20-21,,40425,Marla,780
187,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,27-28;30-39;41-67,1;10-11;20-21,,40425,Marla,780
188,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,29-40;42-67,25;5-6;15-16,,40425,Marla,780
189,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,26-Jan,6;25;15-16,,40425,Marla,780
190,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,Jan-67,13-14;17-19;22-24;7-9,,40425,Marla,780
191,Depal Pur,Basir Pur,Chak Ahmad Yar,Residential,Off Road,Feb-67,12;2-4,,40425,Marla,780
192,Depal Pur,Basir Pur,Chak Outam Singh,Agricultural,Off Road,25-Jan,25-Jan,,3351600,Acre,470
193,Depal Pur,Basir Pur,Chak Outam Singh,Residential,Off Road,4,26-Dec,,46957,Marla,780
194,Depal Pur,Basir Pur,Chak Outam Singh,Residential,Off Road,25-Jan,11-Jan,,42554,Marla,780
195,Depal Pur,Basir Pur,Chak Outam Singh,Residential,Off Road,1-3;5-25,25-Dec,,42554,Marla,780
196,Depal Pur,Basir Pur,Chak Peer,Agricultural,Link Road,77;80;70-71,25-Jan,,2063206,Acre,510
197,Depal Pur,Basir Pur,Chak Peer,Agricultural,Off Road,1-69;72-76;78-79;81-114,25-Jan,,1546663,Acre,470
198,Depal Pur,Basir Pur,Chak Peer,Residential,Link Road,77;80;70-71,25-Jan,,38587,Marla,780
199,Depal Pur,Basir Pur,Chak Peer,Residential,Off Road,3,5;9;12;2-3,,46957,Marla,780
200,Depal Pur,Basir Pur,Chak Peer,Residential,Off Road,72-76;78-79;81-114,25-Jan,,38587,Marla,780
201,Depal Pur,Basir Pur,Chak Peer,Residential,Off Road,Jan-69,1;4;6-8;10-11;13-25,,38587,Marla,780
202,Depal Pur,Basir Pur,Chak Peer,Residential,Off Road,1-2;4-69,5;9;12;2-3,,38587,Marla,780
203,Depal Pur,Basir Pur,Chak Sardar Thakar Singh,Agricultural,Off Road,Jan-35,25-Jan,,1431039,Acre,470
204,Depal Pur,Basir Pur,Chak Sardar Thakar Singh,Residential,Off Road,15,5;7;12,,47404,Marla,780
205,Depal Pur,Basir Pur,Chak Sardar Thakar Singh,Residential,Off Road,1-14;16-35,5;7;12,,38955,Marla,780
206,Depal Pur,Basir Pur,Chak Sardar Thakar Singh,Residential,Off Road,Jan-35,6;8-11;1-4;13-25,,38955,Marla,780
207,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Link Road,18,10-11;20-21,,3781770,Acre,510
208,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Link Road,19,9;12;15;21/1,,3781770,Acre,510
209,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Link Road,7,24,,3781770,Acre,510
210,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Link Road,4;12,5,,3781770,Acre,510
211,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Link Road,3;8,1;10-11;20-21,,3781770,Acre,510
212,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Off Road,8,2,,3500000,Acre,470
213,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Off Road,1-3;13-27;5-11,5,,2971607,Acre,470
214,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Off Road,27-Jan,3-4;6-9,,2971607,Acre,470
215,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Off Road,1-2;19-27;4-7;9-17,10-11;20-21,,2971607,Acre,470
216,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Off Road,7-Jan,1-2;12-19;22-25,,2971607,Acre,470
217,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Off Road,27-Sep,1-2;16-19;22-25,,2971607,Acre,470
218,Depal Pur,Basir Pur,Chakar Kay,Agricultural,Off Road,20-27;9-18,15-Dec,,2971607,Acre,470
219,Depal Pur,Basir Pur,Chakar Kay,Residential,Link Road,18,10-11;20-21,,47656,Marla,780
220,Depal Pur,Basir Pur,Chakar Kay,Residential,Link Road,19,9;12;15;21/1,,47656,Marla,780
221,Depal Pur,Basir Pur,Chakar Kay,Residential,Link Road,3,11,,40425,Marla,780
222,Depal Pur,Basir Pur,Chakar Kay,Residential,Link Road,3,1;10,,100000,Marla,780
223,Depal Pur,Basir Pur,Chakar Kay,Residential,Link Road,3,20-21,,47656,Marla,780
224,Depal Pur,Basir Pur,Chakar Kay,Residential,Link Road,8,1;10-11;20-21,,47656,Marla,780
225,Depal Pur,Basir Pur,Chakar Kay,Residential,Link Road,4;12,5,,47656,Marla,780
226,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,15,25-Jan,,49193,Marla,780
227,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,19,16;5/1;6/1;6/2;14/2;15/1,,49193,Marla,780
228,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,3,1,,80000,Marla,780
229,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,4,6;7/1;7/2,,49193,Marla,780
230,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,7,24,,47656,Marla,780
231,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,7,13/1;13/2,,49193,Marla,780
232,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,8,2;9,,80000,Marla,780
233,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,13-14;5-11,5,,40425,Marla,780
234,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,14-May,6,,40425,Marla,780
235,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,14-Jan,3-4;7-8,,40425,Marla,780
236,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,14-Sep,1-2;9-25,,40425,Marla,780
237,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,1-2;4-7,1;10-11;20-21,,40425,Marla,780
238,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,16-18;20-27,16-Dec,,40425,Marla,780
239,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,16-17;19-27,10-11;20-21,,40425,Marla,780
240,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,7-Jan,2;9;12-19;22-25,,40425,Marla,780
241,Depal Pur,Basir Pur,Chakar Kay,Residential,Off Road,16-27,1-9;17-19;22-25,,40425,Marla,780
